text,label
many course irrelevant branch topic not cover proper material course,negative
not bad,positive
not bad,positive
course material perfect,positive
not bad,positive
good,positive
provide student helpful student,positive
depth course less hand knowledge material good,neutral
good,positive
content not provide deep knowledge,negative
average,neutral
sometime irrelevent ongoing course,negative
average one term two major subject base numerical,neutral
helpful knowledgeable formality,neutral
knowledgeable subject not dedicate material like book available,neutral
optimum content,positive
good,positive
not appropriate,negative
satisfied knowedgeable proper course material,positive
good least one practical subject every semester,positive
good,positive
not deep,negative
course content much relevant course,positive
course structure good follow today technology subject portion vast difficult cover sem,neutral
good,positive
good,positive
content course good,positive
syllabus not debth,negative
excellent,positive
good,positive
per course sub provide worth knowledge,positive
good,positive
dont know,neutral
come course well plan depends lecture,positive
good,positive
good,positive
good,positive
good,positive
upto mark,positive
good,positive
good,positive
excellent,positive
content course ample depth must,neutral
course good proper course material,neutral
excellent,positive
good,positive
content course change bit industry orient feature like linux github must implement proper detail advanced knowledge require instill student course material good,negative
good knowledgeable depth course good proper course material subject,positive
average,neutral
good,positive
good,positive
excellent,positive
good also increase standard courses,positive
course available university get scope teach course go point view bring best student indulge different activity project,positive
content course enough get basic particular subject,positive
course also good subject cse department year feel like burden upon,neutral
rating,positive
good work hard,neutral
good,positive
syllabus require time less student proper concentrate get knowlegde instead cover syllabusgood,negative
good,positive
compare university need well material exposure,negative
good,positive
content course increase depth,negative
content provide excellent learnt particular subject,positive
content course increase depth,negative
good,positive
good,positive
opnion less content syllabus good syllabus depth include syllabus,negative
faculty not upload ppts,negative
,positive
good,positive
excellent,positive
good learn course,positive
tough diffcult understand,negative
nice,positive
yeah well faculty not teach well schedule university superb university ask feedback really helpful,neutral
good,positive
content course good depth course not enough get good concept,neutral
content sufficient,positive
excellent,positive
good,positive
like communication class course good,positive
give good knowledge,positive
excellent,positive
knowledgeable good depth course satisfy proper course material also good,positive
good,positive
every thing good subject good depth almost book available library,positive
good,positive
nice,positive
not good,negative
material provide university depth course course university knowledgeable,positive
depth course much deep according essential,positive
subject good predictable remaining course not satisfactory,neutral
depth course good provide basic knowledge not deep subject least provide deep knowledge syllabus core subject,neutral
like much every subject link real life situation every thing subject use full,positive
depth course depend level student intake course material deliver class ums,neutral
good,positive
pretty good,positive
good,positive
not good enough want something,negative
good,positive
less time study less time paper attemting less time every thing less knowlege less depth course proper course material according exam,negative
knowledge maximum gain reading book also teacher explain depth interested know,neutral
improve,negative
get maximum knowledge,positive
knowledge maximum gain reading book also teacher explain concept depth,positive
fine focus towards practical knowledge rather content base would helpful,neutral
improve,negative
issue little bit old fashion,neutral
exam pattern conduct really seem good first year go scrutiny first time not per expectation teachers marked answer per choice must look content rather length answer poor paper check,neutral
not upto mark,negative
not good improve,negative
difficults exam,negative
fine still improve,neutral
worst examination pattern,negative
examination pattern good class test mid term test final exam not conduct well time student able prepare satisfactorily,negative
exams come quickly day minor minor major time constraint okay,neutral
worst,negative
okay okay improve,neutral
could well right bad,negative
university test student ability memorize stuff,negative
difficulty level reduce otherwise okay,neutral
paper check not upto mark,negative
exam formality,negative
average,neutral
difficult,negative
way difficult average student,negative
exam pattern take different form fine,neutral
well,neutral
could get well,neutral
lengthy paper,negative
way difficult lengthy exam,negative
lengthy exam not able solve time,negative
theory question lengthy,negative
marks distribution confuse,negative
not good,neutral
not good,neutral
bad,negative
average need not improvement,neutral
ther always one error question formation paper set not good,negative
hard level question ask not even syllabus,negative
many time question ask otherwise fine,neutral
descent,neutral
examination pattern good,positive
good,positive
exam pattern mark cgpa depends various mark distribution like mte etc nice compare institution paper check not depend length ques material best part,positive
university test student ability memorize stuff questions emphasize concept rather test brain cram storage house,negative
examination pattern good,positive
yes,positive
good,positive
university far well university come exam pattern mark disturbation come paper check bias correction equal,positive
great,positive
exam pattern good good paper check,positive
pattern procedure examination good paper check need improve,neutral
good,positive
excellent,positive
good mark distribution students easily check performance throught semester,positive
exam pattern conduct really seem good first year go scrutiny first time not per expectation teachers marked answer per choice must look content rather length answer poor paper check,neutral
descent,positive
excellent,positive
excellent,positive
exam pattern mark distribution well procedure,positive
good,positive
average,neutral
statisfactory,positive
good,positive
not good,negative
good,positive
not much good students work hard get satisfactory result,negative
good except paper check improve,neutral
overall thing plus point university,positive
not bad,positive
gud,positive
examination pattern good mark distribution confuse,neutral
exam pattren good mark distribution also good paper cheacking tight,positive
everything fine,positive
examination pattern good mark distribution confuse,neutral
satisfactory,positive
neither good bad,neutral
exam pattern good good paper check,positive
excellent,positive
good,positive
good,positive
excellent,positive
examination pattern mark paper check good,positive
many examination frustrate,negative
much examination,neutral
average,neutral
examination include exam pattern good way mcqs shouls give student preparation exam,positive
level examination raise questions reason must include,negative
,positive
fair mark scheme adaptable pattern,positive
pattern examination good paper check not go good way,neutral
not negative mark,negative
thing good,positive
not negative mark,negative
not negative mark,negative
not bad,positive
good,positive
like satisfied work,positive
good,positive
excellent,positive
quite good,positive
good,positive
poor,negative
exam pattern good good paper check paper check improve,positive
exam pattern good well mark distribution paper check varies faculty faculty,positive
excellent,positive
good,positive
excellent,positive
good,positive
mark distribution good paper check not well,neutral
satisfied,positive
excellent,positive
good,positive
good,positive
tough,negative
good,positive
excellent,positive
good,positive
good,positive
bad,negative
examination pattern good mcq paper check mark not correct sometimes,neutral
strict,negative
good way pattern,positive
good,positive
not good,negative
good,positive
per exam pattern math exam always subjective rather objective,negative
good,positive
bad thing not sow answer mcq exam dont jiged rigth rong mak mistacvk,negative
hand lecture mte ete good,neutral
think mid trem also subjective,neutral
exam pattern mark distribution good,positive
good,positive
examination pattern mark distribution term good mte also give chance student improve,positive
good,positive
examination please try give question paper,neutral
good,positive
good strict,positive
not much good,negative
exam conduct good paper correction bad,neutral
examination pattern good logic base subjective question ask base upon conceptual learn paper check must do lucid manner many doubt arise check omr sheet,neutral
good,positive
best pattern examination lpu,positive
mid term percentage increase student get choice get success examination,neutral
good,positive
good,positive
good,positive
examination system university impressive sit plan student make way student class give exam room even sometimes block student also get know visit different block university check also fair,positive
everything pretty well organise,positive
good,positive
good,positive
good,positive
subject like math english passage write time duration neds increase,negative
pattern good mark distribution include attendence little complicate,neutral
good,positive
every thing fine,positive
good,positive
probably best part university examination pattern,positive
never see type examination good pattern,positive
best,positive
good,positive
good,positive
examination pattern good blunder mistake alternate check mistake do morever question paper also not give discussion suggest provide option check mistake mcq exam midterm,negative
good,positive
,positive
good,positive
excellent,positive
time not sufficient,negative
good,positive
exam pattern good,positive
excellent,positive
every thing excllent paper check not good,neutral
get answer key even question paper mcq exam mean could recheck answer get know mistake make,negative
exam pattern nice paper check not good,neutral
good,positive
good,positive
exam pattern good give question paper student helpful,neutral
well,positive
excellent,positive
exam pattern good marks distribution good sometimes disappoint paper check,positive
yeah obviously good,positive
exam pattern completely different entire exam objective orient resumbling education abroad review,positive
everything good,positive
everything good,positive
excellent check procedure not exceptable since fail know fault mid term,neutral
excellent exam pattern paper check university easy,positive
like mark system appart everything great,neutral
returning question paper exam expect clear clarify doubt regard particular subject,negative
examination pattern excellent,positive
good,positive
exams conduct upon basis revise chapter upto point mark distribution appropriate paper check good,positive
hard paper main concept paper,neutral
good,positive
not good,negative
strict paper correction,negative
super paper check not good,neutral
nice timing,positive
good negative mark pattern exam time not sufficient question,neutral
exampattern good marks distribution also good paper checking hard,positive
good,positive
examination pattern good time not sufficient question,neutral
mcq pattern quite good efficient way evolve student,positive
paper checking hard remaining good,neutral
lab not take properly proper time,negative
well good infrastructure trend software lab,positive
small not good equiment,negative
labs not well equip,negative
faulty equipment,negative
poor lab,negative
online lab not mark teacher not enough knowledge software course lab,negative
equipment facility laboratory need many improvement old fashion even work require,negative
lab apparatus not mark,negative
poor outcome laboratory could call local small group,negative
equipment,negative
old equipment nothing new dic great job,negative
need improvement,neutral
lab conduct viva question related lab ask,negative
okay not good,neutral
essential thing perform experiment always miss,negative
broken equipment,negative
going fine,neutral
equipment sufficient good,neutral
not good essential stuff perform experiment miss,neutral
lab good,neutral
apparatus okay condition not good,neutral
equipment facility laboratory need many improvement old fashion even work require,negative
proper instruction give use lab equipment,negative
lab need advanced equipment,negative
lab quipments not good condition,negative
proper knowledge give lab tool,negative
need improvement,neutral
lab great facility sometimes stop work suddenly,neutral
satisfactory,neutral
lab need fund proper tool available,neutral
tool not proper,neutral
although lab good practical information related give,neutral
practical thing do lab,negative
lab waste time apart,neutral
not satisfactory lab work must include late technology,negative
good,positive
lab work properly cover lab faculty evaluation help learn practical knowledge depth,positive
infrastructure not good,neutral
practical work provide detail knowledge theoretical work,positive
sufficient tool available,positive
not good sufficient tool not available,negative
everything go fine lab learn new thing good,positive
good,positive
good,positive
lab practical not upto mark topic practice almost already do btech,negative
not upto mark,negative
lab improves practical knowledge,negative
sometimes system lab screw otherwise everything respect desk,neutral
good,positive
good,positive
practical work fair,positive
good,positive
practical easy learn,positive
evaluation bad one faculty really weird give remark basis present thing front never look content answer really annoy expect deliver answer way want person people different mentality explain different manner teacher must understand quality child give mark basis say not say,negative
good,positive
good,positive
good,positive
well good infrastructure trend software lab,positive
good,positive
average,neutral
hour practical long hour,negative
good,positive
,positive
practicle must hour,negative
good also depends teacher knowledge student interest,positive
good,positive
average,neutral
much lanlb file work,negative
evaluation method gud content write file,neutral
excellent,positive
good,positive
think electrotherapy practical hour enough think rest fine,neutral
excellent,positive
lab duration hour long,negative
average,neutral
lab evaluation pretty good help lot,positive
good material lab,positive
much good,positive
good,positive
average,neutral
difficult understand experiment hour,negative
good,positive
good,positive
good,positive
lab work also good,positive
lab work quite good,positive
lab activity good not satisfactory explain point view,neutral
help improve skill,positive
lab work nice,positive
practical work include evaluation good student learn practicals,positive
laboratory provide good knowledge practicals,positive
good,positive
practical work lab not upto mark,negative
lab good experiment not informative,neutral
lab not practically built,negative
good,positive
practical work good,positive
good,positive
super,positive
best university university take seriously practical work,positive
time lab not proper work teacher practical knowledge less side evaluation not much good,negative
good,positive
satisfactory,positive
poor equipment,negative
poor,negative
poor equipment,negative
lab practicals evaluation average need lot change improvement,negative
lab practical work improve meet industrial standard,negative
excellent work,positive
good,positive
good,positive
good,positive
good,positive
hard find computer work lab students not save data one single,negative
good,positive
not good becouse lab teacher donot teach work live project make live project ovserved whatever teacher teachig lab not usefull future life,negative
not good timing much lab syllabus also vast get propr revision,negative
good,positive
good,positive
good,positive
good,positive
satisfactory,positive
hate,negative
good,positive
practical work interest different teacher evaluate way teacher section give mark without take viva not give mark accordingly,negative
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
per lab evaluation satisfied,positive
good,positive
lab practical work litial good,positive
not good must improve,negative
good,positive
good,positive
bad,negative
good,positive
good,positive
help practicals student able understand concept also good,positive
good,positive
good,positive
good,positive
lab good,positive
good,positive
not good must improve,negative
lab evaluation good,positive
good improve,neutral
teacher even bother practical perform student give mark see face something like,negative
good mark not give properly,negative
good,positive
excellent,positive
practicals good evaluation not give enough time work,neutral
conduct proper way,positive
teachers suppose let student know actual use instrument use lab,neutral
excellent work hard way teach also pretty good,positive
average,neutral
good,positive
lab lecturer interact student improve knowledge way give work must explain experiment come know perform take precaution,neutral
good,positive
,positive
fine,positive
good,positive
number lab practicals enhance practical knowledge,negative
able every thing valuable support,positive
sufficient lab equipment lab avilable euipments also not perfect,negative
super,positive
good lean lab lab instrument not properly work,neutral
bad,positive
lab interest helpful know knowledge,positive
according student lab mark,negative
lab practical work help learn thing properly evalution also necessary help retain concept,positive
good,positive
good,positive
lab much helpful,positive
lab also show parilaty,negative
good,positive
lab evaluation strict,negative
good,positive
lab evaluation strict,negative
lab practicals good,positive
practicals pretty well,positive
good,positive
good evaluation lab regard practicle,positive
good,positive
good,positive
lab practical work good little draw back faculty connect lab practical outside world,neutral
like soo much,positive
lab good prof explains everything lab begin lab asst help experiment,positive
strcitly evaluted mark,negative
good enough,positive
good,positive
nice enough,positive
lab interest helpful toknoe knowledge,positive
not good,negative
labs help know work do thought good lesson,positive
good,positive
not bad,positive
labs upto mark,positive
lab not facalities,negative
practical work good,positive
book not organisation properly library,negative
library well manage provide need facility,positive
proper self book,negative
books unavailable,negative
book not available library library small department,negative
bad,negative
fine,neutral
good sit capacity increase digital stuff include god sake increase fee every year nothing least,negative
not adequate,negative
much well,neutral
book facility available otherwise good,neutral
book relateds course available extra material not,neutral
book torn,neutral
book not good condition,neutral
okay staff list book,neutral
not mark,negative
college charge much fee provide adequate book facility,negative
many course related book not available,negative
not sufficient book available,negative
book old edition,neutral
neither book available proper sit arrangment,negative
book make available,neutral
poor facility,negative
good find book much less number book,neutral
books not maintain properly many torn page book,negative
sitting capacity increase,neutral
book new edition shiuld make available longer duration time,neutral
poor,negative
bad poor,negative
descent,neutral
not satisfied,neutral
would well book,neutral
not even course related book adequate amount,negative
need improvement,neutral
satisfactory,neutral
library facility good number book less,neutral
not good,negative
library facility excellent term good technique use,positive
best thing see university albeit behaviour library staff unprofessional time whimsically rude,neutral
library huge collection book different author,positive
yes,positive
hardworking,positive
satisfied facility book limited database distribution,neutral
require libral rule,negative
require libral rule,negative
good,positive
good,positive
good library facility,positive
library facility good issue,positive
hardworking,positive
good,positive
excellent,positive
good,positive
good,positive
faculty know behave otherwise good,neutral
descent,positive
satisfactory,neutral
good,positive
library well manage provide need facility,positive
require libral rule,negative
job well,positive
well book not avilable library book less number strength student large,negative
good,positive
book not available,negative
system library usually not work creates problem issue book,negative
sometimes book available subject reserve,negative
helpful,positive
awesome peaceful relax atmosphere,positive
book not available,negative
think number book less accord student copy available,negative
good,positive
thats good,positive
think stock not enough book require,negative
good,positive
cooperative,positive
nice,positive
good,positive
satisfactory,positive
fine,positive
fine,positive
library facility provide excellent,positive
good facility,positive
average,neutral
well,positive
excellent,positive
good,positive
good,positive
book not available please provide,negative
job good,positive
hardworking punctual,positive
excellent,positive
library awesome rich,positive
good,positive
library facility good,positive
library facility good student,positive
good library facility issuing time book must increase,positive
good,positive
book provide issue period increase,negative
good library facility issuing time book must increase,positive
never go,neutral
good,positive
book issue time increase week,negative
good,positive
excellent,positive
really library provide good facilites student teacher fine system not good directly increase upto not good thing,neutral
good proper design,positive
good,positive
excellent,positive
good,positive
average,neutral
average,positive
library contains book regard course material cooperative library staff,positive
book easily available accessable limit book issue need increase,positive
good,positive
good,positive
library facility good every book available library,positive
good,positive
good library facility issuing time book must increase,positive
per library book not available computer library hardly pcs work,negative
good,positive
excellent,positive
book less,negative
good,positive
excellent,positive
excellent,positive
good,positive
good,positive
love,positive
think library facility hostelers,negative
capacity library less compare size university,negative
library provide excellent facility,positive
provide various book increase knowledge understand concept good,positive
good,positive
bad poor,negative
good,positive
good,positive
duration issue book library change week week would great,negative
absolutely fine book thing time limit less return book issue fast,negative
dont think,neutral
good,positive
good,positive
excellent,positive
good,positive
good,positive
library facility need improve bring book,negative
exellent,positive
excellent,positive
good,positive
library facility strength university awesome,positive
good,positive
almost every book time limit keep book much short,neutral
waste library not good place study,negative
good,positive
good,positive
good find book much less number book,neutral
perfect,positive
good,positive
excellent,positive
nice timing library good,positive
excellent,positive
good need keep book general topic social polity etc related subject get knowledge country related issue,neutral
good,positive
good,positive
books heavily outnumber compare number student problem library,neutral
good,positive
insufficient book,negative
word say library facility simply awesome,positive
insufficient book,negative
library facility good problem collection book available book less subject,neutral
good,positive
good enough,positive
good,positive
rough handle,negative
book not available,negative
librery facility excellent,positive
rough handle,negative
good,positive
library facilites good,positive
yeah quite well book not available,neutral
library facility good,positive
good,positive
library facilty good,positive
super,positive
uncertain,neutral
like reading book library,positive
felt well problem library facility,positive
average,neutral
excellent sometimes lack book especially exam time,neutral
libary give lot not get,neutral
excellent,positive
never go library lpu know,neutral
know abt bcoz library till,neutral
facility good overcome one need,positive
good,positive
required text book not available every student,negative
good,positive
library facility excellent limited book available book increase,neutral
good,positive
library insufficent number book student,negative
good find several course book find several reference book also,positive
library vast get wide variety book think number specimen copy book make available,neutral
good,positive
fine,positive
good,positive
nice books not availabe every time,neutral
good,positive
also good,positive
library facility not good not follow rule use phone library,negative
good,positive
good library facalities,positive
problem,negative
not proper equipment extra curricular activity,negative
university term extracurricular activity encourage student participate comfort level,positive
extra curricular activity,negative
not upto mark,negative
fine needs improvement,neutral
fests sport activity absolute rubbish college,negative
university provide facility extra curricular activity university even auditorium conduct kind activity,negative
support extra curricular activity,negative
never happen,negative
non existent,negative
thing college,negative
willing club funding club leave dic,neutral
fun entertainment activity college,negative
infrastructure not upto mark,negative
although fests sport event organise still lot improvement require,neutral
seminar lecture name extra curricular activity activity organise independent club college,negative
okay,neutral
interest pursue one go,neutral
thing exist interest play,neutral
not good,neutral
essential part student life mostly ignore,negative
not conduct,negative
seminar organize otherwise nothing,neutral
moderate,neutral
not good,neutral
even certain activity organize hardly get know since communication advertisement,negative
boring college,negative
not much student show interest,neutral
arrangement not good,negative
sport activity fests competition organize,negative
satisfactory,neutral
fun college,negative
poor bad,negative
activity,negative
activity competition organise,neutral
extracurricular activity excellent provide best platform student,positive
good,positive
extra curricular activity also help student divert mind study time university play important role task,positive
complete wastage time opinion strictly personal may not coincide others,negative
extracurricular activity increase mental physical ability,positive
yes,positive
view,neutral
idea extracurricular activity,neutral
good provide great platform,positive
good provide great platform,positive
come extracurriculum activity well university come around,positive
awesome,positive
,positive
university term extracurricular activity encourage student participate comfort level,positive
good,positive
good,positive
great job,positive
excellent,positive
give various opportunity exposure,positive
really good thing event happen university regularly must announce early every student prepare participation sometimes get know event already conduct announcement must,neutral
good,positive
good,positive
good,positive
extracurricular activity held university necessary provide student platform improve groom,positive
good provide great platform,positive
good,positive
really intersting student enjoys alot get chance showcase talent,positive
good,positive
awesome,positive
good refreshment,positive
appreciable students interest curricular activity get good platform,positive
good,positive
good lack audience participant see activity duty leave basis,neutral
perfect,positive
activity gud appropriate student,positive
good,positive
thats good problm whenever university function like one india one world held not alowed attend class miss class gona loose attendence everyone know lpu attendnce important thanx,neutral
chance enjoy give think activity like one india enjoy otherwise everything good,negative
good,positive
extracurricular activies held class student attend every student enjoy participate event,negative
good,positive
average,neutral
extracurricular activity good,positive
good teacher not consider new one,neutral
good,positive
extracurrcular activity held university good,positive
super extracurricular activity held university student show effort field,positive
good ample number extracurricular activity take place,positive
good,positive
good give exposure student not,neutral
excellent,positive
donot participate,neutral
donot participate,neutral
enough,positive
activity good,positive
good,positive
best,positive
upto mark efficiently held university,positive
good,positive
provide good platform interested student,positive
comment participiate get reappear backlog time give exam preparation,negative
activity good time give student participation use,negative
average,neutral
lot activity student get exposure game,positive
many activity conduct student get ample amount opportunity participate,positive
go excellent,positive
good,positive
good,positive
good,positive
excellent,positive
not much interested,neutral
good,positive
excellent,positive
bcoz lecture get time participate,negative
good,positive
average,neutral
good,positive
also want participate activity take part activity day scholar,negative
extracurricular activity good provide good platform,positive
good,positive
excellent,positive
great,positive
best,positive
hahahah,neutral
many oppertunities student upon student utilize,positive
excellent,positive
excellent,positive
good,positive
good,positive
average,neutral
excellent,positive
poor,neutral
university not conduct extracurricular activity university good feature,positive
good,positive
much useful participate interests,positive
good,positive
excelent,positive
quite lot event organize student round growth nice thing,positive
good,positive
activities not mark advertisement,negative
well,positive
good,positive
excellent,positive
good get sufficient time participate activity,neutral
unbiased,positive
lpu give best opportunity student show talent,positive
usefull student excellent,positive
lot extracurricular activites held university many unknown problem view rating,neutral
use full sudents forphysical activity improvement knowledge,positive
good,positive
sometimes study burden much not participate activity one activity complusory every student like course,negative
excellent,positive
help building university reputation,positive
good,positive
quite great unique,positive
extraordinary,positive
quite great unique,positive
good,positive
good,positive
relly awesome extirdinary marvellous time attend,positive
good,positive
good,positive
good,positive
nice,positive
good,positive
good university,positive
good,positive
excellent best provide facilties etc extra curricular activity,positive
extracurricular activity also good,positive
excellent,positive
university offer alkot activity excellent part student able explore,positive
super,positive
good,positive
really enjoy,positive
felt happy encourages talent,positive
excellent,positive
outstanding,positive
well,positive
excellent simply superb,positive
come lpu thought sport good encourage many politics sport especially cricket,negative
not every one get opportunity recommend student get,negative
seem good since good source interaction built leadership quilities overcome fault,positive
sportive,positive
one best thing like university best,positive
extraordinary,positive
extra curricular good university provide many pathway many student apart education,positive
good,positive
good knowledgebale help interact student,positive
university lot event lot extra curriclar activity,positive
excellent,positive
best,positive
good,positive
excllent,positive
high need take accitivties noise pollition university always big problem,negative
yes,positive
good,positive
good,positive
extracurricular activity held university enjoyable good,positive
university lot extracurricular go help lot,positive
best thing university like,positive
interaction student teacher teachers come teach dull manner without take doubt,negative
teaching not upto mark focus topper student hardly clear doubt student,negative
teacher us instructional strategy ineffective inappropriate content,negative
teacher conveys content inaccuracy contribute make content incomprehensible student,negative
boring dull lecture,negative
neither teacher clear doubt create interest subject,negative
teaching poor doubt resolution clarification concept,negative
personally think max teacher supportive even sometimes compensate mark assignment really headache want full assignment full attendance non supportive preacher topper end even hesitate give mark personally think one take feedback teacher seriously cause complaint teacher lot time action even feedback,negative
good not,neutral
teacher lazy cover whole syllabus time student complete syllabus,negative
teachers content expert not communicate clearly not well prepared teachers not use teach aid handout suitable reference teach,negative
although everyone style teach teacher really need improve style teach otherwise everything good,neutral
teachers really informative supportive none complete syllabus time due suffer end,neutral
criterion change faculty really pathetic,negative
teacher good level teach still improve use good resource,neutral
teacher not good give attention student,negative
teacher give lecture continuously without acknowledge wether student understand not,negative
show much anger egoistic teacher,negative
rather focus teach get personal student silly thing quickly,negative
teacher bias lot partiality student,negative
monotonous class,negative
bad,negative
teach standard not upto mark need improve lot,negative
teachers not adequate knowledge subject content delivery also bad,negative
although explain concept clearly would much well could provide good note well,neutral
term knowledge subject content delivery create interest subject good supplementary material revision note provide due suffer lot revision,neutral
teachers give priority topper student tend ignore student never take doubt kind discrimination not acceptable,negative
dont good grip subject dont behave well student dont even teach concept subject,negative
lack effort engagement teacher,negative
pathetic useless torture student knowledge field teach,negative
talk punctuality really good lecture delivery somehow not appreciate every teacher different style teach lack knowledge term subject interaction also kind boring teacher entertain well really not want studio discipline really not think every student,negative
gets annoyed little thing,negative
pathetic teacher boring style teach come yell student,negative
teacher lazy cover whole syllabus time student complete syllabus,negative
teacher not punctual class tend skip class give note not always sufficient need imrove teach standard lot,negative
teacher punctual also give practical knowledge theoretical,neutral
teacher try complete syllabus without consider student understand not teacher give irrelevant unnecessary work even give mark hardwork say copy obviously content internet similar,negative
excellent lecture deliver teacher teacher punctual,positive
excellent teach methodology,positive
teacher give information require improve performance,positive
yes nice,positive
good punctual,positive
good,positive
teaching level average,neutral
good,positive
good compare btech lecture teach activity,positive
teacher knowledge subject syllabus not syllabus,negative
way teach good,positive
university teach much dependent upon slide though easy way teach still leave concept unclear otherwise interaction faculty good lecture delivery sometimes not upto mark punctuality fine,neutral
good,positive
good,positive
compare college university university perfect aspect,positive
good,positive
lectures help clear concept,positive
talk punctuality really good lecture delivery somehow not appreciate every teacher different style teach lack knowledge term subject interaction also kind boring teacher entertain well really not want studio discipline really not think every student,neutral
university good deliver proper lecture also interaction student descent sometimes teacher lack term punctuality overall university give good input,positive
good,positive
good,positive
lecturer punctual interact easily,positive
good,positive
good,positive
punctuality good teacher not interact student,neutral
good,positive
nice,positive
lecture delivery not good,negative
good,positive
discipline punctuality lecture delivery good work quality lecture,positive
interaction good accurate supplement material provide recommendation book poor change particular teacher month semester subject cause problem,neutral
perfect,positive
really gud,positive
good teach management much load student work hour,neutral
term lecture delivery good term punctuality also good term intraction bad teacher donot interact not litsn problms mean not coprate,negative
according everything go well accordance interaction enough serve,positive
good teach management much load student work hour,neutral
not effective satisfactory term lecture delivery faculty,negative
good,positive
good,positive
accurate,positive
good,positive
good,positive
good depend faculty,positive
maintain punctuality good lecture delivery,positive
average,neutral
average,neutral
good,positive
good,positive
good,positive
good,positive
average,neutral
good,positive
quite good depend teacher experience,positive
quite good depends upon teacher experience,positive
way teach good time enough,positive
good teach delivery,positive
good teacher delivery lecture best way,positive
good qualify teacher lack interaction student fails describe topic,neutral
average,neutral
good teach facility lecture give fruitful teacher punctual,positive
interaction good not mostly male lecturer punctuality maintain everyone lecture delivery not peak quality,neutral
thing good,positive
thing good,positive
activties good,positive
activties good,positive
good,positive
good university serious concept practicals,positive
lecture delivery depends teacher knowledge punctuality good,positive
good,positive
way teach average,positive
not good,negative
average,neutral
good,positive
staff highly punctual interactive encourage student participate class,positive
staff faculty member always available interaction punctual delivery lecture improve,positive
good delivery,positive
good,positive
university good term lecture delivery interaction punctuality,positive
good,positive
good,positive
good,positive
interaction satisfied lecture delivery good punctuality always time,positive
excellent depends upon teacher,positive
good,positive
good,positive
good,positive
good,positive
good,positive
good,positive
,positive
teacher job well manner,negative
teacher not well experienced interactive helpful punctual,positive
not teacher teach well fine,neutral
excellent,positive
faculty good interaction student teacher also good,positive
not good,negative
good,positive
good,positive
faculty member not experienced time face problem subject like cse,negative
good,positive
good,positive
everything good come lecture dont good grip subject dont behave well student dont even teach concept subject,negative
excellent,positive
everything good regard university lecturer grip subject lag teach,neutral
normal,neutral
good,positive
good,positive
teach activity university good satisfied,positive
good,positive
everything good faculty,positive
satisfactory,positive
good,positive
good,positive
good not good sir improve subject,neutral
university good also long way teacher phd college fests related academic curriculum must improve great extent must manage properly interaction good lecture delivery need lucidity punctuality top notch,neutral
university good punctuality lecture delivery not good term interaction,positive
average,neutral
interaction less come lecture delivery fine cordination not lectueres,negative
good,positive
lecture give best teach student,positive
university good term interaction teacher student not fair interact student understands teach make remain student understand topic,negative
